Wykonawca,Tytuł,Rok,Gatunek
Acid Drinkers,Acidofilia,2002,metal
Acid Drinkers,High Proof Cosmic Milk,1998,metal
Acid Drinkers,La Part Du Diable,2012,metal
Acid Drinkers,Rock Is Not Enough,2004,metal
Acid Drinkers,Verses of Steel,2008,metal
As Night Falls,From Grace To Oblivion,2017,metal
Billy Corgan,The Future Embrace,2005,rock
Black River,Black'n'Roll,2009,rock
Bloodhound Gang,Hooray for Boobies,1999,other
Bloodhound Gang,One Fierce Beer Coaster,1996,other
Bloodhound Gang,Use Your Fingers,1995,other
Chassis,Social Distortion,2012,metal
Closterkeller,Aurum,2009,rock
Closterkeller,Bordeaux,2011,rock
Dave Gahan and The Soulsavers,Angels & Ghosts,2015,pop
Depeche Mode,Detla Machine,2013,pop
Depeche Mode,Music for the Masses,1987,pop
Depeche Mode,Playing The Angel,2005,pop
Depeche Mode,The Best Of vol1,2006,pop
Depeche Mode,The Singles 86>98,1998,pop
Depeche Mode,Violator,1990,pop
Depeche Mode,Exciter,2001,pop
Dimmu Borgir,Abrahadabra,2010,metal
Disturbed,The Sickness,2000,metal
Faith no More,Live Brixton Academy,1990,other
Faith no More,Angel Dust,1992,other
Faith no More,Album of the Year,1997,other
Hegemony,Awakening,2016,metal
Jelonek,Revenge,2011,metal
Kabanos,Dramat Współczesny,2014,metal
Kazik,Czterdziesty Pierwszy,2004,rock
KoRn,Follow The Leader,1998,rock
Korpiklaani,Ukon Wacka,2011,metal
Kvelertak,Kvelertak,2010,metal
Pearl Jam,Ten,1991,grunge
Rammstein,Sehnsucht,1997,metal
Red Hot Chili Peppers,By The Way,2002,funk
Red Hot Chili Peppers,Californication,1999,funk
Red Hot Chili Peppers,Stadium Arcadium,2006,funk
Red Hot Chili Peppers,The Getaway,2016,funk
Red Hot Chili Peppers,Blood Sugar Sex Magik,1991,funk
Red Hot Chili Peppers,One Hot Minute,1995,funk
Red Hot Chili Peppers,What hits? ,1992,funk
Republika,82>85,1993,rock
Russkaja,Energia,2013,rock
Silver Samurai,Back To the 80's,2009,rock
Smashing Pumpkins ,Mellon Collie and the Infinite Sadness,1995,rock
Sonata Arctica ,The Days Of Grays,2009,metal
Tales of Doom,The Ultimate Doom Metal Collection,2008,metal
The Clash,London Calling,1979,punk-rock
The Offspring,Americana,1998,punk-rock
The Offspring,Conspiracy of One,2000,punk-rock
The Offspring,Days Go By,2012,punk-rock
The Offspring,Ignition,1992,punk-rock
The Offspring,Smash,1994,punk-rock
The Offspring,Splinter,2003,punk-rock
Vesania,Distractive Killusions,2007,metal